"STATION","NAME","DATE","PGTM","PRCP","SNOW","SNWD","TMAX","TMIN","WDF1","WDFG","WDFI","WDFM","WSF1","WSFG","WSFI","WSFM","WT01","WT03","WT04","WT05","WT06","WT08","WT11","WT14","WT16","WT18"
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-05",,"0.07","0.0","0","40","32",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-06",,"0.00","0.0","0","44","29",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-07",,"0.00","0.0","0","45","31",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-08",,"0.03","0.0","0","41","33",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-09",,"0.21","0.0","0","40","30",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-10",,"0.06","0.0","0","45","34",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-11",,"0.18","0.0","0","41","37",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-12",,"0.00","0.0","0","45","36",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-13",,"0.01","0.0","0","50","34",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-14",,"0.00","0.0","0","62","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-15",,"0.00","0.0","0","62","42",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-16",,"0.00","0.0","0","61","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-17",,"0.40","0.0","0","55","42",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-18",,"0.00","0.0","0","49","39",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-19",,"0.15","0.0","0","46","39",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-20",,"0.08","0.0","0","50","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-21",,"0.65","0.0","0","54","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-22",,"0.45","0.0","0","49","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-23",,"0.72","0.0","0","51","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-24",,"0.35","0.0","0","59","46",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-25",,"0.10","0.0","0","47","39",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-26",,"0.00","0.0","0","49","38",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-27",,"0.02","0.0","0","49","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-28",,"0.00","0.0","0","61","47",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-29",,"0.00","0.0","0","65","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-30",,"0.00","0.0","0","55","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-03-31",,"0.06","0.0","0","51","39",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-01",,"0.13","0.0","0","50","35",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-02",,"0.00","0.0","0","51","34",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-03",,"0.00","0.0","0","56","34",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-04",,"0.00","0.0","0","61","34",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-05",,"0.00","0.0","0","53","39",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-06",,"0.00","0.0","0","59","37",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-07",,"0.01","0.0","0","57","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-08",,"0.18","0.0","0","64","47",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-09",,"0.04","0.0","0","56","42",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-10",,"0.00","0.0","0","57","38",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-11",,"0.00","0.0","0","58","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-12",,"0.19","0.0","0","49","38",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-13",,"0.00","0.0","0","49","36",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-14",,"0.35","0.0","0","46","38",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-15",,"0.01","0.0","0","49","38",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-16",,"0.05","0.0","0","52","42",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-17",,"0.00","0.0","0","53","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-18",,"0.00","0.0","0","62","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-19",,"0.00","0.0","0","70","47",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-20",,"0.00","0.0","0","73","48",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-21",,"0.00","0.0","0","68","52",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-22",,"0.00","0.0","0","58","46",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-23",,"0.00","0.0","0","64","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-24",,"0.00","0.0","0","55","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-25",,"0.00","0.0","0","60","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-26",,"0.00","0.0","0","67","41",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-27",,"0.00","0.0","0","69","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-28",,"0.00","0.0","0","69","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-29",,"0.00","0.0","0","66","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-04-30",,"0.00","0.0","0","63","42",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-01",,"0.00","0.0","0","65","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-02",,"0.08","0.0","0","70","55",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-03",,"0.05","0.0","0","65","50",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-04",,"0.00","0.0","0","61","48",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-05",,"0.03","0.0","0","59","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-06",,"0.00","0.0","0","55","47",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-07",,"0.18","0.0","0","52","41",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-08",,"0.23","0.0","0","52","39",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-09",,"0.00","0.0","0","64","48",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-10",,"0.00","0.0","0","69","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-11",,"0.00","0.0","0","67","46",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-12",,"0.00","0.0","0","59","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-13",,"0.00","0.0","0","55","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-14",,"0.30","0.0","0","50","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-15",,"0.11","0.0","0","52","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-16",,"0.07","0.0","0","57","46",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-17",,"0.00","0.0","0","55","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-18",,"0.00","0.0","0","55","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-19",,"0.01","0.0","0","51","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-20",,"0.00","0.0","0","57","41",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-21",,"0.00","0.0","0","57","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-22",,"0.00","0.0","0","59","44",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-23",,"0.11","0.0","0","55","42",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-24",,"0.00","0.0","0","58","40",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-25",,"0.01","0.0","0","60","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-26",,"0.00","0.0","0","66","42",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-27",,"0.00","0.0","0","72","48",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-28",,"0.00","0.0","0","71","48",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-29",,"0.00","0.0","0","71","52",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-30",,"0.00","0.0","0","58","48",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-05-31",,"0.01","0.0","0","57","43",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-01",,"0.00","0.0","0","55","45",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-02",,"0.00","0.0","0","60","46",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-03",,"0.00","0.0","0","66","46",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-04",,"0.00","0.0","0","73","49",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-05",,"0.00","0.0","0","78","56",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-06",,"0.00","0.0","0","80","58",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-07",,"0.00","0.0","0","72","55",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-08",,"0.00","0.0","0","76","54",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-09",,"0.14","0.0","0","77","55",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-10",,"0.33","0.0","0","76","58",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-11",,"0.00","0.0","0","73","54",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-12",,"0.01","0.0","0","75","56",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-13",,"0.00","0.0","0","66","53",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-14",,"0.00","0.0","0","65","52",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-15",,"0.00","0.0","0","67","50",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-16",,"0.00","0.0","0","69","54",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-17",,"0.00","0.0","0","64","52",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-18",,"0.00","0.0","0","66","49",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-19",,"0.00","0.0","0","72","50",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-20",,"0.00","0.0","0","80","55",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-21",,"0.02","0.0","0","81","59",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-22",,"0.00","0.0","0","74","50",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-23",,"0.00","0.0","0","63","53",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-24",,"0.00","0.0","0","65","53",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-25",,"0.00","0.0","0","70","53",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-26",,"0.00","0.0","0","68","52",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-27",,"0.00","0.0","0","68","52",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-28",,"0.00","0.0","0","65","50",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-29",,"0.00","0.0","0","76","51",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-06-30",,"0.00","0.0","0","78","54",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-01",,"0.00","0.0","0","76","53",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-02",,"0.00","0.0","0","71","52",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-03",,"0.00","0.0","0","66","47",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-04",,"0.00","0.0","0","71","53",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-05",,"0.00","0.0","0","63","52",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-06",,"0.00","0.0","0","65","52",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-07",,"0.00","0.0","0","74","50",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-08",,"0.00","0.0","0","75","54",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-09",,"0.36","0.0","0","63","53",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-10",,"0.45","0.0","0","60","51",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-11",,"0.00","0.0","0","67","51",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-12",,"0.00","0.0","0","71","52",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-13",,"0.00","0.0","0","75","54",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-14",,"0.00","0.0","0","77","56",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-15",,"0.00","0.0","0","76","56",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-16",,"0.01","0.0","0","79","59",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-17",,"0.00","0.0","0","83","61",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-18",,"0.00","0.0","0","71","60",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-19",,"0.00","0.0","0","69","58",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-20",,"0.20","0.0","0","66","57",,,,,,,,,,,,,,,,,,
"USW00024281","SEATTLE PORTAGE BAY, WA US","1918-07-21",,"0.01","0.0","0","72","56",,,,,,,,,,,,,,,,,,
